d3mIndex,QuestionFilename,SentenceFilename
17476,Q1774.txt,D1678-0.txt
6653,Q663.txt,D647-0.txt
6046,Q601.txt,D590-7.txt
4395,Q432.txt,D427-2.txt
11102,Q1104.txt,D1062-14.txt
11600,Q1158.txt,D1113-0.txt
21175,Q2170.txt,D1616-10.txt
13455,Q1344.txt,D1284-0.txt
20068,Q2045.txt,D1931-3.txt
15093,Q1516.txt,D557-12.txt
17834,Q1813.txt,D1715-0.txt
10613,Q1061.txt,D1024-15.txt
528,Q51.txt,D51-3.txt
22802,Q2345.txt,D2207-0.txt
24653,Q2546.txt,D2381-8.txt
11198,Q1114.txt,D1072-15.txt
7378,Q746.txt,D724-2.txt
11739,Q1170.txt,D1124-2.txt
24926,Q2577.txt,D1468-2.txt
22289,Q2286.txt,D2151-2.txt
11967,Q1195.txt,D1144-2.txt
15182,Q1525.txt,D1446-3.txt
4348,Q424.txt,D419-5.txt
13934,Q1393.txt,D1330-7.txt
6509,Q648.txt,D633-23.txt
19280,Q1960.txt,D801-7.txt
15004,Q1508.txt,D1431-10.txt
18009,Q1834.txt,D1735-10.txt
16080,Q1626.txt,D1543-4.txt
4161,Q404.txt,D330-2.txt
19800,Q2012.txt,D1898-11.txt
5999,Q597.txt,D586-2.txt
5926,Q588.txt,D578-13.txt
2002,Q200.txt,D200-16.txt
22732,Q2336.txt,D2199-0.txt
19943,Q2030.txt,D1916-15.txt
8182,Q824.txt,D798-1.txt
18402,Q1876.txt,D1773-6.txt
17315,Q1760.txt,D1667-6.txt
4777,Q467.txt,D460-9.txt
27134,Q2811.txt,D2611-4.txt
1694,Q167.txt,D167-8.txt
18762,Q1907.txt,D1802-10.txt
11903,Q1186.txt,D806-10.txt
12029,Q1204.txt,D1153-8.txt
12659,Q1259.txt,D1204-11.txt
26871,Q2787.txt,D2591-4.txt
12180,Q1219.txt,D1168-6.txt
2468,Q236.txt,D236-13.txt
13120,Q1309.txt,D1253-4.txt
18446,Q1879.txt,D1776-4.txt
2910,Q282.txt,D281-3.txt
28460,Q2959.txt,D2098-2.txt
18302,Q1864.txt,D1762-5.txt
4385,Q431.txt,D426-1.txt
27053,Q2803.txt,D2604-8.txt
7437,Q752.txt,D730-5.txt
10600,Q1061.txt,D1024-2.txt
