d3mIndex,QuestionFilename,SentenceFilename
18758,Q1907.txt,D1802-6.txt
10695,Q1068.txt,D1030-17.txt
7192,Q724.txt,D704-11.txt
2125,Q211.txt,D211-12.txt
7705,Q777.txt,D370-7.txt
4892,Q480.txt,D473-2.txt
13239,Q1322.txt,D1264-5.txt
4163,Q404.txt,D330-4.txt
742,Q69.txt,D69-5.txt
16183,Q1635.txt,D1552-11.txt
7001,Q704.txt,D686-1.txt
671,Q64.txt,D64-6.txt
18546,Q1888.txt,D1785-6.txt
11008,Q1094.txt,D1053-9.txt
15525,Q1569.txt,D1487-2.txt
20354,Q2074.txt,D1957-15.txt
11108,Q1104.txt,D1062-20.txt
13913,Q1390.txt,D1327-14.txt
28132,Q2925.txt,D2706-3.txt
8991,Q901.txt,D871-6.txt
123,Q17.txt,D17-1.txt
556,Q52.txt,D52-10.txt
1075,Q99.txt,D99-18.txt
20363,Q2075.txt,D1958-1.txt
26348,Q2735.txt,D2548-1.txt
16770,Q1695.txt,D1608-2.txt
16933,Q1714.txt,D1625-6.txt
18440,Q1878.txt,D1775-9.txt
22328,Q2291.txt,D2156-3.txt
798,Q76.txt,D76-3.txt
7484,Q757.txt,D735-2.txt
24051,Q2483.txt,D2325-6.txt
16499,Q1667.txt,D1583-0.txt
9348,Q933.txt,D901-11.txt
5757,Q570.txt,D561-10.txt
4599,Q449.txt,D443-7.txt
26016,Q2695.txt,D2514-8.txt
25047,Q2595.txt,D2424-1.txt
20249,Q2066.txt,D1950-3.txt
21832,Q2238.txt,D230-5.txt
21631,Q2217.txt,D2089-6.txt
18993,Q1933.txt,D1825-7.txt
13364,Q1336.txt,D1276-3.txt
16959,Q1718.txt,D1298-1.txt
27181,Q2816.txt,D2616-6.txt
22779,Q2341.txt,D2204-7.txt
21361,Q2187.txt,D2061-7.txt
22357,Q2295.txt,D2159-0.txt
1169,Q108.txt,D108-4.txt
1362,Q126.txt,D126-17.txt
22651,Q2327.txt,D2190-5.txt
16999,Q1723.txt,D1633-9.txt
9698,Q964.txt,D931-8.txt
26844,Q2782.txt,D2412-1.txt
8354,Q841.txt,D815-0.txt
15636,Q1579.txt,D1497-25.txt
28974,Q3015.txt,D2783-6.txt
13482,Q1347.txt,D1287-1.txt
19766,Q2009.txt,D1895-1.txt
22444,Q2304.txt,D359-0.txt
4872,Q475.txt,D468-10.txt
1372,Q128.txt,D128-1.txt
16484,Q1665.txt,D1581-5.txt
25790,Q2669.txt,D1054-16.txt
15768,Q1592.txt,D1510-5.txt
28321,Q2943.txt,D2721-0.txt
22667,Q2327.txt,D2190-21.txt
14734,Q1476.txt,D1402-8.txt
20492,Q2089.txt,D1318-9.txt
389,Q41.txt,D41-1.txt
1158,Q107.txt,D107-16.txt
9099,Q912.txt,D881-6.txt
2515,Q240.txt,D240-8.txt
14912,Q1498.txt,D1422-12.txt
12421,Q1238.txt,D1185-8.txt
8010,Q807.txt,D781-2.txt
18911,Q1924.txt,D1817-6.txt
27866,Q2897.txt,D2686-3.txt
19476,Q1978.txt,D1865-7.txt
28290,Q2939.txt,D569-14.txt
2872,Q278.txt,D277-26.txt
16190,Q1636.txt,D1553-1.txt
29043,Q3022.txt,D2789-0.txt
13762,Q1376.txt,D1314-11.txt
6752,Q675.txt,D659-7.txt
13098,Q1305.txt,D1249-7.txt
24012,Q2479.txt,D2322-13.txt
5780,Q574.txt,D565-1.txt
