d3mIndex,text_fileName,text_language,author_gender,author_language,author_region_A,author_region_B,author_region_L,author_region_OV,author_region_Other,author_region_WV
20,45,0,0,0,1,0,0,0,0,0
124,22,0,0,0,0,0,0,1,0,0
51,75,0,0,0,1,0,0,0,0,0
56,80,0,1,0,1,0,0,0,0,0
30,55,0,1,0,1,0,0,0,0,0
19,44,0,0,1,1,0,0,0,0,0
122,20,0,0,0,1,0,0,0,0,0
92,107,0,0,0,1,0,0,0,0,0
79,93,0,0,0,1,0,0,0,0,0
52,76,0,0,0,1,0,0,0,0,0
8,94,0,1,0,1,0,0,0,0,0
18,43,0,0,0,1,0,0,0,0,0
47,71,0,1,0,1,0,0,0,0,0
105,6,0,0,0,1,0,0,0,0,0
141,36,0,1,0,1,0,0,0,0,0
3,54,0,0,0,0,0,0,0,1,0
59,82,0,0,0,0,0,0,1,0,0
29,53,0,0,0,0,0,0,0,1,0
118,17,0,0,0,0,0,0,0,0,1
89,103,0,0,0,1,0,0,0,0,0
54,78,0,1,0,1,0,0,0,0,0
31,56,0,1,0,0,1,0,0,0,0
109,10,0,0,0,0,0,1,0,0,0
98,112,0,0,0,0,0,0,0,1,0
17,42,0,0,0,1,0,0,0,0,0
123,21,0,0,0,1,0,0,0,0,0
53,77,0,0,1,0,0,0,0,1,0
125,23,0,0,0,1,0,0,0,0,0
50,74,0,0,0,0,0,0,0,0,1
14,34,0,0,0,0,0,0,1,0,0
113,13,0,1,0,1,0,0,0,0,0
95,110,0,0,0,1,0,0,0,0,0
132,28,0,0,0,1,0,0,0,0,0
104,5,0,1,0,1,0,0,0,0,0
101,2,0,0,0,1,0,0,0,0,0
117,16,0,0,0,1,0,0,0,0,0
128,24,0,0,0,1,0,0,0,0,0
4,64,0,0,0,1,0,0,0,0,0
143,38,0,1,0,1,0,0,0,0,0
12,18,0,0,0,0,0,0,0,1,0
142,37,0,1,0,1,0,0,0,0,0
22,47,0,0,0,1,0,0,0,0,0
58,81,0,0,0,1,0,0,0,0,0
90,105,0,0,0,1,0,0,0,0,0
33,58,0,0,0,1,0,0,0,0,0
111,12,0,1,0,1,0,0,0,0,0
55,79,0,0,0,1,0,0,0,0,0
91,106,0,0,0,1,0,0,0,0,0
27,51,0,1,0,1,0,0,0,0,0
21,46,0,0,0,1,0,0,0,0,0
103,4,0,1,0,1,0,0,0,0,0
135,30,0,0,0,1,0,0,0,0,0
45,69,0,0,0,1,0,0,0,0,0
100,1,0,0,0,1,0,0,0,0,0
106,7,0,0,0,1,0,0,0,0,0
88,102,0,0,0,1,0,0,0,0,0
62,84,0,0,0,0,0,0,0,1,0
49,72,0,0,0,0,0,0,1,0,0
99,113,0,0,0,1,0,0,0,0,0
34,59,0,0,0,1,0,0,0,0,0
39,63,0,1,0,0,0,1,0,0,0
40,65,0,0,0,1,0,0,0,0,0
80,95,0,1,0,1,0,0,0,0,0
28,52,0,1,0,1,0,0,0,0,0
25,50,0,0,0,1,0,0,0,0,0
5,73,0,1,0,1,0,0,0,0,0
82,97,0,0,0,1,0,0,0,0,0
78,92,0,0,0,1,0,0,0,0,0
43,67,0,0,0,1,0,0,0,0,0
83,98,0,0,0,1,0,0,0,0,0
37,61,0,0,0,1,0,0,0,0,0
81,96,0,0,0,1,0,0,0,0,0
16,41,0,0,0,0,0,0,1,0,0
131,27,0,0,0,1,0,0,0,0,0
65,86,0,0,0,1,0,0,0,0,0
130,26,0,0,1,0,0,0,0,1,0
72,90,0,1,0,1,0,0,0,0,0
108,9,0,1,0,1,0,0,0,0,0
120,19,0,0,0,1,0,0,0,0,0
93,108,0,0,0,1,0,0,0,0,0
102,3,0,0,0,1,0,0,0,0,0
140,35,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0
9,104,0,0,0,1,0,0,0,0,0
85,100,0,0,0,1,0,0,0,0,0
84,99,0,0,0,0,0,0,0,1,0
46,70,0,0,0,0,0,1,0,0,0
144,39,0,1,0,1,0,0,0,0,0
110,11,0,0,0,1,0,0,0,0,0
23,48,0,0,0,1,0,0,0,0,0
36,60,0,0,0,1,0,0,0,0,0
94,109,0,0,0,1,0,0,0,0,0
15,40,0,1,0,1,0,0,0,0,0
69,88,0,0,0,1,0,0,0,0,0
38,62,0,0,0,1,0,0,0,0,0
32,57,0,0,0,1,0,0,0,0,0
67,87,0,0,0,1,0,0,0,0,0
107,8,0,0,0,1,0,0,0,0,0
87,101,0,0,0,1,0,0,0,0,0
129,25,0,0,0,1,0,0,0,0,0
114,14,0,0,0,0,0,0,1,0,0
24,49,0,0,0,1,0,0,0,0,0
61,83,0,1,0,0,0,0,0,1,0
41,66,0,0,0,0,0,1,0,0,0
137,32,0,0,1,0,0,0,0,1,0
44,68,0,0,0,1,0,0,0,0,0
136,31,0,0,0,1,0,0,0,0,0
138,33,0,0,0,1,0,0,0,0,0
70,89,0,0,0,1,0,0,0,0,0
134,29,0,1,0,1,0,0,0,0,0
64,85,0,0,0,0,0,0,1,0,0
97,111,0,0,0,0,0,0,1,0,0
116,15,0,0,0,1,0,0,0,0,0
73,91,0,1,0,1,0,0,0,0,0
