d3mIndex,QuestionFilename,SentenceFilename
18758,999,6809
10695,75,257
7192,2713,18606
2125,1223,9227
7705,2769,15712
4892,2449,16623
13239,355,2350
4163,2366,15366
742,2676,18494
16183,700,4661
7001,2692,18471
671,2621,18076
18546,977,6606
11008,103,507
15525,626,4094
20354,1183,8063
11108,115,595
13913,429,2867
28132,2121,14038
8991,2907,20133
123,771,5894
556,2491,17037
1075,3002,21278
20363,1184,8076
26348,1911,12772
16770,766,5170
16933,788,5316
18440,966,6505
22328,1422,9591
798,2752,19110
7484,2749,18856
24051,1634,11027
16499,735,4939
9348,2942,20463
5757,2545,17393
4599,2415,16361
26016,1866,12542
25047,1756,11789
20249,1175,8006
21832,1364,10785
21631,1341,9064
18993,1028,6993
13364,370,2433
16959,792,2580
27181,2001,13333
22779,1477,10001
21361,1307,8852
22357,1426,9610
1169,88,725
1362,285,2318
22651,1461,9882
16999,798,5368
9698,2975,20786
26844,1963,11728
8354,2840,19590
15636,637,4186
28974,2221,14686
13482,381,2520
19766,1112,7559
22444,1437,15599
4872,2443,16583
1372,307,2459
16484,733,4931
25790,1838,515
15768,652,4317
28321,2141,14162
22667,1461,9879
14734,524,3510
20492,1199,2791
389,2372,16063
1158,77,651
9099,2919,20239
2515,1542,11627
14912,548,3643
12421,262,1674
8010,2802,19294
18911,1018,6918
27866,2090,13846
19476,1076,7316
28290,2136,17452
2872,1960,14555
16190,701,4673
29043,2229,14726
13762,413,2751
6752,2660,18237
13098,336,2225
24012,1629,10987
5780,2549,17421
4294,2381,16109
5453,2509,17118
7517,2751,18877
5987,2572,17593
6191,2598,17780
7190,2713,18618
4346,2388,16148
12506,268,15617
2914,2016,14871
22497,1440,9732
9837,2993,20886
6967,2689,17094
2709,1784,13365
2606,1630,12306
12689,289,1875
20048,1149,7806
9096,2919,20236
6334,2615,17895
24241,1655,11178
4833,2441,16548
28817,2200,14537
9084,2917,20199
8739,2878,19904
23109,1521,10245
23968,1624,10954
13658,403,2648
3818,2328,15697
1534,506,3908
21110,1281,8638
22206,1403,9484
437,2405,16323
4435,2399,16227
135,771,5898
15501,625,4082
21008,1269,8584
4925,2452,16652
1909,979,7514
16324,717,4784
3783,2323,15670
26614,1937,12968
6674,2651,18180
6028,2575,17628
6589,2640,18096
11085,114,580
9428,2950,20523
8097,2812,19356
3914,2340,15770
20594,1214,1242
14244,465,3146
17824,894,6012
2541,1575,11846
2272,1355,10184
2996,2082,14932
28084,2117,14004
14522,502,3374
15214,583,3861
21348,1306,8836
3180,2259,15129
11279,139,772
7939,2795,19224
12309,252,1565
715,2654,18353
11523,167,967
6931,2681,18411
11714,183,1107
12507,268,15618
12460,265,1699
25484,1803,12116
21730,1356,2246
5462,2510,17136
9670,2974,20772
28112,2119,14021
10797,83,348
13327,366,2404
10967,100,477
8114,2814,19385
5970,2570,17579
17902,906,6079
15485,623,4056
13052,331,2187
10510,52,110
20819,1243,8402
15561,631,4130
27960,2101,15721
9352,2943,20473
25200,1774,3230
19385,1064,7230
23524,1578,15517
6500,2630,18020
3265,2268,15198
17009,801,5375
25000,1748,20289
7363,2735,18754
1945,1035,7903
24626,1701,11451
27282,2018,13409
17037,803,5386
27998,2106,12278
12301,252,1574
26138,1881,12620
27117,1995,13276
27041,1986,13227
24366,1669,11263
19094,1038,7078
25243,1778,11943
15192,581,3836
5566,2526,17227
15826,658,4363
16746,764,12493
6835,2668,18320
4830,2441,16557
2604,1630,12304
5458,2510,17132
12847,306,2007
27563,2053,13616
15952,676,4482
2022,1113,8445
23441,1566,10526
2865,1960,14550
10992,102,493
23443,1566,10528
12751,295,1932
9194,2925,20313
16716,759,5126
11315,144,21174
4952,2456,16680
1066,3002,21285
17818,892,6006
1941,1035,7899
3640,2312,15542
16354,719,4816
17221,827,5535
4322,2384,16127
11086,114,581
23820,1607,9760
19948,1138,7719
8490,2856,19712
966,2916,20546
27589,2055,13636
28247,2130,14121
10750,80,291
4221,2373,16045
27687,2070,13699
2297,1377,10349
7230,2720,18649
26698,1945,6406
27154,1997,13313
18600,982,6646
7943,2795,19228
337,2294,15442
24350,1668,11255
25203,1774,3233
10365,37,21311
20167,1164,7920
4306,2382,16114
19420,1070,7261
19061,1032,16417
12779,298,16709
9373,2945,20492
22988,1507,10154
3373,2279,15304
15996,681,4518
22290,1416,9556
5273,2493,16982
18912,1018,6919
14461,492,3317
23388,1558,7700
28965,2220,14670
10799,83,350
6768,2661,18264
3754,2320,15641
5672,2536,17326
15576,632,4135
3422,2284,15342
4141,2365,15982
12448,265,1704
13905,429,2878
1932,1013,7734
15223,585,3218
6547,2636,18056
4562,2412,15602
16052,687,4553
587,2524,17283
16395,724,4859
23617,1587,10663
28113,2119,14023
20282,1176,8019
25349,1788,12006
28417,2154,14241
20851,1247,8437
23497,1574,10575
4567,2412,15607
10836,86,367
22744,1472,9976
7947,2796,19240
12901,314,2053
23100,1520,10239
9552,2963,20668
18155,929,6271
18427,965,6485
8644,2869,19829
9148,2921,20271
28799,2199,14523
8046,2809,19318
15236,587,3870
24229,1651,3103
4404,2397,16195
25268,1779,11951
26180,1887,12653
7920,2792,19215
2043,1157,8714
6343,2616,17903
19480,1076,7308
26366,1914,12798
996,2927,20647
10792,83,336
7979,2799,19254
27884,2091,13856
9738,2980,20821
27935,2098,13884
922,2893,20334
13889,427,2860
6300,2611,17855
10052,7,21064
12033,225,1349
3485,2290,15414
28320,2140,14161
4510,2407,16290
9177,2923,20285
24267,1657,17611
20141,1161,7886
22148,1397,9438
1934,1024,7815
2223,1322,9967
2764,1860,13809
28563,2171,18566
21674,1347,9104
14283,469,3180
5156,2477,16860
11338,146,815
24188,1649,11150
17050,804,5409
28559,2170,14327
1446,384,3115
11044,107,541
25333,1786,11998
28800,2199,14528
12152,239,1459
582,2524,17289
23978,1625,10961
22912,1496,10116
27545,2050,13604
5747,2545,17391
5442,2508,17116
25663,1821,12282
8542,2862,19770
9840,2994,20888
25452,1801,12086
18090,926,6211
5728,2541,17376
19779,1115,7569
25513,1807,12146
9091,2918,20213
702,2643,18241
17658,871,5847
22713,1468,9922
27221,2006,13354
6909,2679,18393
18186,931,6288
12976,320,2110
14729,524,3506
5601,2532,17252
2199,1310,9862
1598,584,4455
11560,170,16563
6881,2675,18365
9393,2947,20513
3711,2317,15611
17208,825,5521
23116,1522,10785
24778,1720,11566
20046,1149,7804
10165,16,21138
9425,2950,20522
3534,2297,15456
23199,1532,10316
27188,2003,13338
906,2871,20118
12378,257,1636
12594,277,1779
25942,1859,12476
11771,189,15583
3523,2296,15451
21446,1320,8919
25366,1790,12025
15915,673,4451
21275,1300,8764
3506,2293,15430
15941,675,4470
7308,2727,18707
2382,1432,10786
20386,1187,8096
26585,1933,12942
12674,287,1862
25528,1808,12159
18962,1023,6951
15498,624,4071
18740,998,6793
18691,992,6737
26085,1877,12607
13595,398,2610
9825,2990,20869
11072,112,572
16891,784,5273
27933,2098,13882
1405,352,2811
12658,284,1842
12148,239,1456
24642,1702,11470
15179,579,3826
10341,32,21295
23419,1562,10494
1976,1078,8205
12604,278,1789
6263,2607,17841
21145,1285,8670
14176,458,3096
2964,2049,14914
19431,1072,7274
90,329,2593
5269,2493,16978
10389,40,21331
25307,1782,19998
7365,2735,18740
18882,1017,6893
20743,1235,8323
4186,2369,16022
11830,196,1206
23045,1512,18245
28831,2205,14566
12518,270,17364
11737,187,1131
4874,2443,16585
